journal_canonical,n_papers,mean_citations,median_citations,total_citations,first_year,last_year,pct_uncited
Journal of paediatrics and child health,36,15.67,10.0,564,1990,2022,2.78
The journal of trauma and acute care surgery,36,25.64,12.5,923,2012,2022,2.78
Revue d'epidemiologie et de sante publique,36,7.53,3.0,271,1989,2022,5.56
"Indian journal of critical care medicine : peer-reviewed, official publication of Indian Society of Critical Care Medicine",36,8.28,5.5,298,2005,2022,8.33
Human psychopharmacology,36,15.89,9.5,572,1991,2021,11.11
Journal of gambling studies,36,27.94,28.5,1006,1990,2022,0.0
Brain injury,36,26.31,16.0,947,1989,2022,2.78
Academic medicine : journal of the Association of American Medical Colleges,35,42.74,25.0,1496,1990,2022,0.0
Prevention science : the official journal of the Society for Prevention Research,35,30.77,21.0,1077,2004,2022,2.86
Archives de pediatrie : organe officiel de la Societe francaise de pediatrie,35,3.66,2.0,128,1994,2022,20.0
Asia-Pacific journal of public health,35,15.94,9.0,558,1989,2022,0.0
Nursing ethics,35,13.97,10.0,489,1995,2022,5.71
International journal of molecular sciences,35,33.34,21.0,1167,2010,2022,2.86
Infection and immunity,35,83.17,43.0,2911,1990,2021,0.0
JAMA pediatrics,35,107.54,71.0,3764,2011,2022,0.0
Croatian medical journal,35,21.71,13.0,760,1997,2020,0.0
